iter	Passed	Remaining
221	1679	5887
222	1686	5874
223	1692	5864
224	1698	5851
225	1706	5845
226	1713	5834
227	1719	5823
228	1726	5812
229	1733	5803
230	1740	5793
231	1747	5785
232	1754	5776
233	1761	5765
234	1769	5761
235	1776	5751
236	1783	5740
237	1790	5731
238	1796	5720
239	1803	5710
240	1809	5697
241	1815	5687
242	1821	5674
243	1828	5664
244	1834	5654
245	1841	5644
246	1848	5634
247	1855	5624
248	1862	5617
249	1868	5604
250	1874	5593
251	1882	5588
252	1889	5579
253	1896	5569
254	1904	5562
255	1909	5548
256	1914	5535
257	1920	5524
258	1928	5516
259	1934	5504
260	1939	5491
261	1945	5479
262	1954	5475
263	1961	5469
264	1968	5458
265	1976	5452
266	1982	5442
267	1988	5432
268	1995	5422
269	2003	5416
270	2009	5405
271	2016	5396
272	2023	5388
273	2030	5380
274	2038	5373
275	2045	5364
276	2052	5358
277	2060	5350
278	2066	5341
279	2074	5333
280	2080	5324
281	2088	5317
282	2095	5308
283	2102	5301
284	2109	5293
285	2116	5284
286	2125	5279
287	2132	5272
288	2141	5268
289	2151	5266
290	2162	5269
291	2173	5270
292	2185	5272
293	2201	5287
294	2211	5284
295	2220	5280
296	2230	5280
297	2244	5287
298	2252	5282
299	2261	5276
300	2270	5273
301	2280	5270
302	2289	5267
303	2301	5269
304	2311	5267
305	2321	5264
306	2330	5261
307	2341	5261
308	2347	5249
309	2354	5240
310	2362	5233
311	2369	5226
312	2376	5215
313	2382	5204
314	2389	5195
315	2396	5187
316	2403	5178
317	2410	5169
318	2417	5160
319	2424	5151
320	2431	5142
321	2437	5131
322	2445	5125
323	2452	5116
324	2458	5105
325	2464	5095
326	2470	5083
327	2476	5072
328	2484	5067
329	2499	5075
330	2506	5066
331	2512	5056
332	2518	5044
333	2524	5034
334	2529	5022
335	2536	5013
336	2544	5006
337	2551	4996
338	2557	4986
339	2561	4971
340	2567	4962
341	2575	4954
342	2581	4944
343	2588	4935
344	2595	4926
345	2600	4916
346	2606	4905
347	2615	4900
348	2623	4892
349	2629	4883
350	2636	4874
351	2644	4867
352	2650	4857
353	2657	4849
354	2661	4834
355	2667	4825
356	2672	4813
357	2681	4808
358	2687	4798
359	2696	4793
360	2703	4784
361	2709	4775
362	2717	4768
363	2725	4761
364	2732	4753
365	2739	4746
366	2747	4738
367	2754	4730
368	2760	4720
369	2767	4712
370	2774	4703
371	2779	4692
372	2787	4685
373	2794	4678
374	2800	4667
375	2807	4659
376	2814	4651
377	2820	4641
378	2827	4632
379	2836	4627
380	2843	4619
381	2847	4606
382	2851	4593
383	2858	4585
384	2865	4577
385	2872	4569
386	2881	4563
387	2888	4555
388	2895	4548
389	2904	4542
390	2912	4536
391	2918	4526
392	2926	4519
393	2934	4512
394	2941	4505
395	2949	4498
396	2956	4490
397	2963	4481
398	2970	4475
399	2980	4471
400	2989	4465
401	2998	4461
402	3008	4456
403	3016	4450
404	3025	4444
405	3034	4438
406	3042	4432
407	3051	4428
408	3058	4419
409	3068	4415
410	3079	4413
411	3090	4410
412	3100	4407
413	3109	4400
414	3117	4395
415	3126	4389
416	3138	4388
417	3148	4384
418	3158	4379
419	3168	4375
420	3177	4370
421	3187	4366
422	3197	4361
423	3205	4355
424	3215	4350
425	3224	4345
426	3233	4339
427	3242	4332
428	3252	4329
429	3263	4325
430	3273	4321
431	3282	4316
432	3293	4313
433	3303	4308
434	3311	4301
435	3319	4294
436	3330	4290
437	3338	4283
438	3347	4277
439	3355	4270
440	3364	4265
441	3373	4258
442	3381	4252
443	3389	4244
444	3396	4235
445	3403	4227
446	3411	4219
447	3421	4215
448	3429	4208
449	3439	4203
450	3448	4198
451	3459	4194
452	3470	4190
453	3479	4184
454	3487	4176
455	3494	4169
456	3501	4159
457	3508	4152
458	3515	4143
459	3522	4135
460	3528	4125
461	3536	4118
462	3542	4109
463	3550	4101
464	3558	4093
465	3564	4085
466	3571	4076
467	3578	4067
468	3584	4058
469	3591	4050
470	3600	4043
471	3606	4034
472	3613	4025
473	3619	4016
474	3625	4007
475	3631	3997
476	3638	3989
477	3644	3980
478	3651	3971
479	3658	3963
480	3665	3955
481	3673	3947
482	3680	3939
483	3688	3932
484	3694	3923
485	3702	3915
486	3709	3907
487	3716	3898
488	3722	3889
489	3730	3882
490	3737	3874
491	3743	3864
492	3749	3855
493	3755	3846
494	3761	3837
495	3767	3828
496	3773	3819
497	3781	3811
498	3787	3802
499	3794	3794
500	3799	3784
501	3804	3774
502	3811	3766
503	3817	3757
504	3825	3749
505	3830	3739
506	3836	3731
507	3843	3722
508	3850	3714
509	3861	3710
510	3869	3702
511	3876	3694
512	3883	3687
513	3892	3680
514	3901	3674
515	3910	3667
516	3919	3661
517	3931	3658
518	3944	3655
519	3958	3654
520	3968	3648
521	3977	3641
522	3987	3636
523	3997	3631
524	4010	3628
525	4020	3622
526	4028	3615
527	4036	3608
528	4047	3603
529	4057	3598
530	4075	3599
531	4084	3592
532	4092	3585
533	4101	3579
534	4109	3571
535	4119	3566
536	4126	3558
537	4133	3549
538	4139	3540
539	4146	3531
540	4152	3523
541	4160	3515
542	4167	3507
543	4173	3498
544	4180	3490
545	4187	3481
546	4194	3474
547	4201	3465
548	4207	3456
549	4212	3446
550	4219	3438
551	4226	3430
552	4236	3424
553	4244	3417
554	4251	3408
555	4259	3401
556	4265	3392
557	4273	3385
558	4284	3380
559	4293	3373
560	4301	3365
561	4308	3357
562	4314	3349
563	4321	3340
564	4327	3331
565	4333	3323
566	4340	3314
567	4345	3305
568	4351	3296
569	4359	3288
570	4366	3280
571	4374	3273
572	4382	3265
573	4390	3258
574	4396	3249
575	4404	3242
576	4411	3233
577	4418	3226
578	4424	3217
579	4432	3209
580	4438	3201
581	4445	3192
582	4452	3184
583	4461	3178
584	4470	3171
585	4478	3164
586	4488	3157
587	4497	3151
588	4509	3146
589	4518	3140
590	4531	3136
591	4542	3130
592	4551	3123
593	4560	3117
594	4571	3111
595	4580	3105
596	4591	3099
597	4603	3094
598	4616	3090
599	4630	3087
600	4640	3080
601	4649	3074
602	4660	3068
603	4674	3064
604	4687	3060
605	4698	3055
606	4708	3048
607	4720	3043
608	4729	3036
609	4739	3030
610	4747	3022
611	4756	3015
612	4765	3008
613	4774	3001
614	4783	2994
615	4794	2988
616	4805	2983
617	4814	2975
618	4824	2969
619	4834	2962
620	4847	2958
621	4860	2953
622	4870	2947
623	4878	2939
624	4888	2933
625	4898	2926
626	4906	2919
627	4916	2912
628	4925	2904
629	4932	2896
630	4939	2888
631	4946	2880
632	4956	2873
633	4964	2865
634	4969	2856
635	4977	2848
636	4984	2840
637	4991	2832
638	4999	2824
639	5005	2815
640	5012	2807
641	5019	2799
642	5027	2791
643	5034	2783
644	5041	2775
645	5048	2766
646	5055	2758
647	5062	2750
648	5071	2742
649	5078	2734
650	5085	2726
651	5093	2718
652	5099	2710
653	5108	2702
654	5116	2694
655	5123	2686
656	5132	2679
657	5140	2671
658	5148	2664
659	5156	2656
660	5165	2649
661	5173	2641
662	5181	2633
663	5189	2625
664	5195	2617
665	5202	2608
666	5214	2603
667	5222	2595
668	5230	2588
669	5237	2579
670	5243	2570
671	5249	2562
672	5257	2554
673	5265	2546
674	5272	2538
675	5278	2530
676	5285	2521
677	5293	2513
678	5298	2505
679	5305	2496
680	5315	2489
681	5322	2481
682	5329	2473
683	5337	2465
684	5344	2457
685	5351	2449
686	5358	2441
687	5364	2432
688	5372	2424
689	5379	2416
690	5386	2408
691	5393	2400
692	5399	2391
693	5405	2383
694	5412	2375
695	5420	2367
696	5427	2359
697	5435	2351
698	5441	2343
699	5447	2334
700	5454	2326
701	5461	2318
702	5468	2310
703	5475	2302
704	5483	2294
705	5489	2285
706	5495	2277
707	5501	2269
708	5509	2261
709	5516	2253
710	5524	2245
711	5530	2237
712	5539	2229
713	5547	2222
714	5554	2214
715	5563	2206
716	5570	2198
717	5575	2189
718	5582	2181
719	5589	2173
720	5596	2165
721	5603	2157
722	5610	2149
723	5617	2141
724	5624	2133
725	5631	2125
726	5638	2117
727	5645	2109
728	5652	2101
729	5659	2093
730	5666	2085
731	5673	2077
732	5680	2069
733	5688	2061
734	5695	2053
735	5701	2045
736	5708	2037
737	5716	2029
738	5722	2021
739	5729	2013
740	5736	2005
741	5744	1997
742	5751	1989
743	5758	1981
744	5765	1973
745	5774	1966
746	5785	1959
747	5794	1952
748	5807	1946
749	5821	1940
750	5833	1934
751	5843	1927
752	5855	1920
753	5865	1913
754	5874	1906
755	5885	1899
756	5896	1892
757	5905	1885
758	5917	1878
759	5931	1873
760	5942	1866
761	5951	1858
762	5960	1851
763	5970	1844
764	5980	1837
765	5988	1829
766	5996	1821
767	6005	1814
768	6011	1805
769	6022	1798
770	6032	1791
771	6041	1784
772	6053	1777
773	6059	1769
774	6070	1762
775	6077	1754
776	6082	1745
777	6090	1737
778	6097	1729
779	6104	1721
780	6111	1713
781	6118	1705
782	6125	1697
783	6132	1689
784	6139	1681
785	6146	1673
786	6152	1665
787	6158	1656
788	6165	1648
789	6170	1640
790	6176	1632
791	6183	1623
792	6190	1615
793	6196	1607
794	6204	1599
795	6211	1591
796	6217	1583
797	6224	1575
798	6230	1567
799	6237	1559
800	6243	1551
801	6249	1543
802	6256	1535
803	6262	1526
804	6269	1518
805	6277	1511
806	6284	1503
807	6291	1494
808	6297	1486
809	6304	1478
810	6311	1470
811	6318	1462
812	6325	1454
813	6332	1447
814	6339	1439
815	6346	1431
816	6353	1423
817	6360	1415
818	6368	1407
819	6375	1399
820	6384	1391
821	6393	1384
822	6404	1377
823	6414	1369
824	6427	1363
825	6437	1356
826	6446	1348
827	6456	1341
828	6463	1333
829	6471	1325
830	6479	1317
831	6490	1310
832	6498	1302
833	6509	1295
834	6518	1287
835	6526	1280
836	6535	1272
837	6544	1265
838	6554	1257
839	6562	1249
840	6572	1242
841	6579	1234
842	6590	1227
843	6599	1219
844	6607	1212
845	6618	1204
846	6626	1197
847	6636	1189
848	6650	1182
849	6660	1175
850	6671	1168
851	6681	1160
852	6690	1153
853	6703	1146
854	6715	1138
855	6725	1131
856	6737	1124
857	6749	1117
858	6769	1111
859	6782	1104
860	6795	1097
861	6804	1089
862	6814	1081
863	6825	1074
864	6837	1067
865	6849	1059
866	6857	1052
867	6865	1044
868	6874	1036
869	6882	1028
870	6890	1020
871	6901	1013
872	6910	1005
873	6918	997
874	6929	989
875	6938	982
876	6947	974
877	6956	966
878	6964	958
879	6972	950
880	6979	942
881	6986	934
882	6994	926
883	7001	918
884	7008	910
885	7014	902
886	7021	894
887	7028	886
888	7035	878
889	7042	870
890	7049	862
891	7056	854
892	7062	846
893	7068	838
894	7075	830
895	7083	822
896	7091	814
897	7098	806
898	7103	798
899	7110	790
900	7117	782
901	7124	774
902	7132	766
903	7141	758
904	7148	750
905	7156	742
906	7162	734
907	7170	726
908	7177	718
909	7184	710
910	7191	702
911	7198	694
912	7203	686
913	7211	678
914	7218	670
915	7226	662
916	7233	654
917	7239	646
918	7245	638
919	7253	630
920	7260	622
921	7267	614
922	7274	606
923	7280	598
924	7287	590
925	7294	582
926	7301	574
927	7308	567
928	7315	559
929	7323	551
930	7331	543
931	7337	535
932	7344	527
933	7351	519
934	7359	511
935	7366	503
936	7373	495
937	7382	487
938	7389	480
939	7396	472
940	7402	464
941	7409	456
942	7416	448
943	7424	440
944	7431	432
945	7439	424
946	7446	416
947	7453	408
948	7461	400
949	7468	393
950	7475	385
951	7483	377
952	7490	369
953	7497	361
954	7504	353
955	7511	345
956	7519	337
957	7526	329
958	7532	322
959	7540	314
960	7548	306
961	7556	298
962	7562	290
963	7569	282
964	7576	274
965	7583	266
966	7590	259
967	7604	251
968	7614	243
969	7623	235
970	7646	228
971	7665	220
972	7672	212
973	7680	205
974	7691	197
975	7700	189
976	7711	181
977	7726	173
978	7735	165
979	7745	158
980	7756	150
981	7769	142
982	7777	134
983	7787	126
984	7797	118
985	7810	110
986	7820	103
987	7830	95
988	7844	87
989	7859	79
990	7868	71
991	7879	63
992	7889	55
993	7900	47
994	7911	39
995	7923	31
996	7933	23
997	7942	15
998	7953	7
999	7962	0
